2001.07.26 22:14 B C:\pmf\matm\resol\quest3\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest3/item16 item16.html
2001.07.29 04:50 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest3/item16 item16.html
2001.08.05 04:05 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image34.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image34.gif
2001.08.05 04:05 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image35.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image35.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image36.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image36.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image37.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image37.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image38.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image38.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image39.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image39.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image40.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image40.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image41.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image41.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image42.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image42.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image43.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image43.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\Image44.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 Image44.gif
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest3/item16 item16.html
2001.08.05 04:06 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item16\triang.gif --> pmfi.hpg.com.br /matm/resol/quest3/item16 triang.gif
