2001.07.26 22:11 B C:\pmf\matm\resol\quest3\item02\item02.html --> pmfi.hpg.com.br /matm/resol/quest3/item02 item02.html
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\figura1.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 figura1.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image14.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image14.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image15.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image15.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image16.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image16.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image17.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image17.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image18.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image18.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image19.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image19.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\Image20.gif --> pmfi.hpg.com.br /matm/resol/quest3/item02 Image20.gif
2001.08.05 04:02 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item02\item02.html --> pmfi.hpg.com.br /matm/resol/quest3/item02 item02.html
